column0,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14
Nazri's poor tact,06/12/17,3 comments,"{xnakdedak}  In the end, Najib Razak will have to step in, once again. Like he had to with 1MDB and SRC, to manfully songlap billions into his own pockets.What a troubleshooter the Bugis pirate is.I'm just in awe.Ohhhhh by the way, ""Eagle High Najib"".Google it, dear readers.The Bugis pirate is corrupt everywhere - including FELDA. ","{shah} Najib steps in?After stepping into public funds lah...See how he used his 1MDB stolen money in AmBank?The pre-election cash bonanzas included a RM100,000,000 cheque handed to ‘Pertubuhan Kebangsaan Malaya Bersatu (UMNO)’ 11th April 2013 a week after the election had been announced.  On 22nd April UMNO Malaysia again received two further cheques of RM50 million each.Individual cheques were also handed out to all UMNO and related BN divisions, for example Badan Perhubungan UMNO Negeri Pahang received RM15 million on 18th April and the following day, April 19th, UMNO Penang received RM5 million. Kelantan division received RM5 million on 10th April.Amongst the many other similar payments was RM5 million both the UMNO state party of Kedah and the MCA Selangor Liason Committee on 8th April and RM20 million to UMNO Selangor on April 24th.  UMNO Perak received its handout on April 29th of RM25 million with another five million each going to UMNO Selangor and the MCA Selangor Liason Committee again the following day.  Also on 30th April Johor UMNO received RM25 million, less than a week before the election.The UMNO womens’ divisions also received significant pay outs, signifying the party’s appreciation of the importance of ‘winning’ the female vote: Pergerakan Puteri UMNO Malaysia received a RM5 million cheque 27th February and Pergerakan Wanita UMNO Selangor RM1.1 million 22nd March and Wanita Barisan Nasional Selangor RM1 million on 17th May.Allied parties also received big money, for example the Liberal Democratic Party received RM1 million 5th April, the Malaysian Indian Congress received RM10 million on the 18th April and a further RM5 million 26th April. SUPP received RM2 million 20th March.  The previous year UPCO had received RM2 million, indeed over the election huge sums were dished out to Sabah and particularly Sarawak (of which more later).Saudi storySince all this money came from stolen public funds, borrowed at punishing rates of interest under false pretenses, the ultimate cost to the Malaysian taxpayer will be at least double the sums handed out in this exercise to buy votes for the ruling party, who was abusing its position in such a spectacular fashion.People are entitled to assume that a man who is willing to raid his country’s development fund, as well as the civil servant pension fund, the pilgrims’ fund, the farmers’ fund and doubtless other sources of public money, is unlikely to hesitate to attempt to bribe voters with a little of that money back in the form of payment for votes.","{Anonymous} If Najib has to keep stepping in to every ego driven mistake, it does serve any purpose to gave Ministers and government representative Chairmen.",,,,,,,,,
The Muslim Dilemma,06/09/17,4 comments,"{KaryaCipta} Sad, for 'tis true.","{RD.} That's why I against our boys participation in that so-called 'Coalition of Islamic Nations Against Terrorism' coined by Saudi Arabia. We just can't afford to be seen as taking sides in those mindless Arabic sectarian fighting. For all we know, the Shias or Iran might be the terrorist to Saudis' Monarch. Unfortunately... if not because of that 'donation' of RM2.6 Billion, we could have told the Sauds to stop bombing Yemen and footing the bills for US' assistance.","{anom k} The more religious one gets, the more confused he or she becomes",{Anonymous} Korang ingat isu politik dan ekonomi saja yg boleh di spin? Hal agama lagi teruk kena spin... sejak beratus tahun lagi hingga ke hari ini. Al Quran aje di spin oleh manusia yg tersekat oksigen di kepala sebab pakai serban  ketat. Temberang mereka ternampak jelas bagi mereka yg tajam akal...,,,,,,,,
All the good news in a day,06/08/17,1 comment,{Anonymous} Why these 2 Dins are busy body? Mind your own business.,,,,,,,,,,,
Najib's Trojan Horse?,06/05/17,1 comment,"{kapalperang} Walaupun dikhabarkan di Parlimen bahawa peguam hebat bertaraf 5 bintang ini hanya dibayar 1 ribu untuk khidmat guamannya, sesuatu yang tak masuk dek akal, pendedahan sensasi Clare Rewcastle had opened up a can of worms.Peguam yang dikenali ramai kerana kepetahannya tiba-tiba kelu lidah tidak terkata. Diam seribu bahasa. PM Najib yang dikaitkan juga diam 2 ribu bahasa. Nancy Shukry diam 3 ribu bahasa. Jabatan Peguam Negara diam 4 ribu bahasa. Salleh Keruak yang aktif menulis blog masih tiada entri baharu. Blogger pro kerajaan seperti mykemut, RinggitBru dan Cucu Tok Klepet diam dan sunyi sepi seolah-olah mengiyakan tuduhan Clare.Adakah pihak kerajaan hanya membiarkan isu ini tidak terjawab? Sampai bila hendak berdiam diri? Orang tua-tua kata diam tanda setuju. ",,,,,,,,,,,
Rocky's Bru is 11,06/01/17,6 comments,"{anak si-hamid} Oh dear, oh dear, whose toes have you stepped on now?  Write 100 lines on the blackboard, ""In future, I must be a good boy and (try to)) shut my gob.""Good luck kiddo.",{Cucu Tok Selampit} You're my idol in this blogsphere Dato. Keep it up.,{Anonymous} Keep it up.,"{xnakdedak} According to the documents obtained by Sarawak Report, the controversial lawyer Muhammed Shafee Abdullah was one of the biggest individual recipients of money from Najib’s 1MDB slush fund accounts.Shaffee, who is known to be an extremely close confidante of Najib and who was controversially appointed as the public prosecutor during the appeal against the acquittal of opposition leader Anwar Ibrahim on sodomy charges in 2014, received two payments. 11th September 2013 Najib paid him RM4,300,000 from his AmBank account no 2112022011906 and again on 17th February 2014 he received RM5,200,000 from the same account.  This account has been identified as having been funded by money stolen by the Prime Minister from the 1MDB subsidiary SRC, which had borrowed some RM4 billion from the civil service pension fund KWAP.AG Apandi inadvertently confirmed that finding by waving MACC investigation papers showing the money trail into Account no 2112022011906 in January 2016, at the very press conference during which he announced that no wrong-doings had been committed and he was closing down investigations into 1MDB.Can a senior lawyer sue the SR?I guess so.Let's wait, huh?Next Tuesday kut.When is the WSJ being sued?Next Tuesday?",{Anonymous} Ya and continue to lick Najib harder for there are bigger reward is waiting for ya...,{Anonymous} Of all reports...SR and WSJ??,,,,,,
Front page Ramadan hate-line: The Star suspends editors,05/31/17,1 comment,{Anonymous} Amaran and more amaran fr the talented people up there.,,,,,,,,,,,
"Syed speaks out on ""selling out"" allegation",05/29/17,2 comments,"{Anonymous} Berapa gantang dedak Najib supply bagi Datok bulan ni ? Raya dah nak mai ,kena lebih sikit lah kot","{xnakdedak} Latuk,Still waiting for your link to the ""allegation"" made by The Edge that 42 billion was missing from 1MDB.Yilek ka?Or you might want to study their very detailed financial flows diagram (concurred with by the DOJ, Singapore and Swiss authorities) that make it clear what a crook your main client is.How embarrassing if some of that cash trickled into LockyBlue Sdn Bhd, eh?Selamat berpuasa.",,,,,,,,,,
"Proton Geely's first model, already?",05/25/17,1 comment,"{Anonymous} It's a prototype-showcar Proton has been displaying at local motor shows. The Proton staff manning the booth told me it has a ridiculously huge turning radius, as a result of those wheels. Not surprising, since it not finalised version, let alone a production car. ""Don't know if it will ever be mass-produced,"" they said.- Azlan.",,,,,,,,,,,
Mahathir's inevitable parting of ways with everybody else,05/23/17,5 comments,{Rabbit} Thick skinned after being insulted like that. No honour left in the grand old statesman.,"{Asaif Barkiya} The old man doesn't bother at all for the masses to help up their card.All he wanted irrespective of anything go or against his super ego is their votes.Hence,should this old man be given what he wants?The answer is good luck and go and fly kites.",{Anonymous} Powerlah...Abg Rocky,"{Lemans} I adore the man once but now I can't help feeling disgusted.stubborn old man,he will go down in disgrace.","{xnakdedak} ""Look closer now, and you'll see the two men slowly turning their backs on the Old Man!"" http://s147.photobucket.com/user/malaysianunplug/media/rockybigdogmahathir.jpg.htmlLOL...Latuk, Latuk.Every time you open your mouth, you just become more of a laughable hypocrite, eh?Still, you and your chubby dingleberries need that feed.Kipidap!",,,,,,,
Loaf Story,05/19/17,4 comments,{Hantu Gigi Jarang} There's a much more important issue to address than The Loaf. Massive corruption scandal...,{Anonymous} And now the end is near.As I pull the final curtain.I did what I could doWithout exception ....Ha ha ha ... my way.You are still a mortal.,"{RD.} I'm glad, you're still supporting The Loaf, Dato.","{xnakdedak} I am probably one of the saddest to see the Loaf gulung tikar (how sad is that?). With Tun Dr M at the helm, I thought the simple Loaf story deserved a much happier ending ... Of course you're quite happy with Kedai Songlap Rosie aka 1MDB, which ripped off more Malaysians than any bakery in history.And had a worse business model!",,,,,,,,
Rimba Kiara: Ku Nan needs to watch this clip,05/17/17,1 comment,"{Anonymous} Government should have rezoned all the terrace houses in TTDI into high rise, then acquire all those houses  and turn them into public housing. ",,,,,,,,,,,
Working with the Devil,05/13/17,3 comments,{Labu8455} So what is your point Latok ? I guess you must have been seeing Najib as an Angel of God given specially for Malaysia....,{Paul Baggio} MahaKUTTY indeed a 'known' Devil! You should be Rokkey!,"{Hantu Gigi Jarang} ...""ruling party embroiled with massive corruption scandal""...you didn't highlight this point bru!",,,,,,,,,
"You mean the RM42b did not go missing, after all?",05/04/17,10 comments,"{drMpower} The team that went to trash whatever deal u mentionedWhich one is from MoF?Arul kanda? That malay guy?Last time checked, both FM 1 and 2 didnt goAnd this multi billion dispute we are talking aboutNot that to knit picking and to some this is pettyWell if this is petty then why cant u get it rightFunny how these people do workNow you know why the problem never settleBecause u yourself do matters hastily hanky pankyWhy not just produce the account stating money this much comes from this that guyEnd of storyNow see what they do?And you got the cheek to say others sabotaging here and there?Sabotage my footWaste of time","{Anonymous} Dedak, sedap ke? Malam, bolih tidur ke?","{Anonymous} Anonymous said...(9.06pm)""Dedak, sedap ke?Malam, boleh tidur ke?""Dedak tentulah sedap. Kalau tidak kejadah apa nak mempertahankan MO1 yg sudah pun kelihatan di-bogelkan seluroh dunia tapi penyokong dalam parti masih lagi tak nampak yg MO1 dah bogel pun.Malam tak boleh tidur no problem...ada valium...Carlsberg Special Brew,or Jack Daniels on the Rock...boleh cover malu lagi...bukan buat tidur aja.",{Anonymous} since when do financial statements based on implied meaning?,{Anonymous} Its amazing that Samsung Galaxy A9 can do wonders...,{Anonymous} cockybru ckap ape benda nie... crite mcm kartun all gringo...  ,"{Anonymous} DatoWhen a property is in distressed, nobody is going to pay a full price to buy itFadzireen","{xnakdedak} ""But why did you make all those accusations against the PM and about the so-called missing RM42 billion?""They didn't.Please post a link to any such claim made by the Edge.Pissing on fellow Journos with fake accusations = not cool.Malam, bolih tidur ke?",{Anonymous} WOW En Rocky....consuming the dedak really brings out the true stupidity in you! Trying to emulate your MO1 in being a moron i suppose...hehe,"{Anonymous} Hi rockybru, i'm a new comer in this blog. Just wanted to point out to the above comments. Can't you guys just accept the fact MO1 has was freed from fraud/corruption charges? You guys yang makan dedak kot. He did nothing wrong at all and there was already a bipartisan PAC investigating this as well.about the 2.6 donation it is legally right in malaysia but ethically wrong for him to do so. So thats up to you guys to hate on him. But please stop with all these conspiracy ""macc,police,jabatan audit,bnm"" all takut/control by najib when he was acquitted of the allegation after their investigation. And the 42billion debt claimed by your holy grail malaysiakini,drM,the edge were nothing but a misleading statement.It was true but its 42 billion ASSET debt. Who buys a 100k house with 10k downpayment and go tell everyone they are at 90k debt?So its a financial term but since most of you were so dumb you thought it was stolen,laundered somewhere else.Its shameful on what opposition supporters can come out with. Ingat semua support najib makan dedak ke? That kind of labelling shows how pathethic you guys are. ",,
"My Sabah, Our Sabah",05/03/17,1 comment,"{Tunku Aziz} Federations have a poor record of keeping states happily together for any length of time. The British union of England, Scotland and Wales is going through a stressful period and how much longer will Scotland remain in the family? Think of other federations that are now all but forgotten: The West Indian Federation, the East African Federation, the Federation of Rhodesia and Nyasaland, to name a few. In their modern form,federations were a British invention, used as a simple expedient for washing their hands off a difficult imperial political problem.We in the Malay Peninsula should take pride in nurturing Sabah into a modern state, a far cry from the days when I was sent out to the then British North Borneo to teach at Sabah College.We have prepared them well and we must set them free if this is what the people of Sabah really want. A referendum supervised by an international team should decide the matter once and for all. The same goes for Sarawak.Let them leave the nest. Freedom is their birthright. ",,,,,,,,,,,
"Norza is president, long live Malaysian badminton",05/02/17,2 comments,"{Anonymous} Nice BUTT LICKING article you wrote there....but you just gave out to the public the ""grade"" of dedak you've been feeding your family all this while....hahahahaha",{Anonymous} Is he the same person when brought to court found sheding tears some years ago when the sleeping PM's men went on a rampage at the corridor of power? Is he the same person acted as a baggage man to a present minister in a PMO during sleeping PM' time?,,,,,,,,,,
"Messing with Melaka, again",04/27/17,1 comment,"{RD.} Salam Dato Rocky.I glad you've become your good old self, Dato... outspoken for the sake of integrity.But please... be frank with everybody else, especially those in the corridors of power.",,,,,,,,,,,
